time UTC,u_10,v_10
1/01/2018 0:30,-0.625,-2.375
1/01/2018 1:30,-0.125,-2.625
1/01/2018 2:30,0.375,-2.75
1/01/2018 3:30,0.625,-2.625
1/01/2018 4:30,1,-2.25
1/01/2018 5:30,1.625,-1.75
1/01/2018 6:30,-2,-2.25
1/01/2018 7:30,-0.875,5.625
1/01/2018 8:30,-1.125,5.75
1/01/2018 9:30,-0.625,5.125
1/01/2018 10:30,0,4.625
1/01/2018 11:30,-0.5,4
1/01/2018 12:30,-0.375,3.625
1/01/2018 13:30,-0.375,3.25
1/01/2018 14:30,-0.5,2.875
1/01/2018 15:30,-0.625,2.125
1/01/2018 16:30,-1.125,1.25
1/01/2018 17:30,-0.875,1
1/01/2018 18:30,-0.375,1.25
1/01/2018 19:30,-0.375,2
1/01/2018 20:30,-0.25,2.625
1/01/2018 21:30,0.25,3.125
1/01/2018 22:30,0.875,2.5
1/01/2018 23:30,1.75,0.875
2/01/2018 0:30,2.375,-1.5
2/01/2018 1:30,2.25,-3.625
2/01/2018 2:30,2.125,-3.625
2/01/2018 3:30,2.875,-3.875
2/01/2018 4:30,2.625,-4.125
2/01/2018 5:30,0.625,-5.75
2/01/2018 6:30,0.625,-5.375
2/01/2018 7:30,1.5,-4.75
2/01/2018 8:30,0.875,-4.625
2/01/2018 9:30,0.125,-4.75
2/01/2018 10:30,-0.375,-4
2/01/2018 11:30,-1.375,-1.875
2/01/2018 12:30,-1.125,1.5
2/01/2018 13:30,-2,2.5
2/01/2018 14:30,-2.25,3
2/01/2018 15:30,-1.5,3.5
2/01/2018 16:30,-1.125,4
2/01/2018 17:30,-1.125,4
2/01/2018 18:30,-1,4.25
2/01/2018 19:30,-1.125,4
2/01/2018 20:30,-1.375,3.5
2/01/2018 21:30,-1.25,3.125
2/01/2018 22:30,-0.875,3
2/01/2018 23:30,0.125,3.25
3/01/2018 0:30,0.875,3.375
3/01/2018 1:30,2,2.625
3/01/2018 2:30,2.125,1
3/01/2018 3:30,1.5,0.375
3/01/2018 4:30,-0.75,2.125
3/01/2018 5:30,-1.5,6
3/01/2018 6:30,-1.625,7
3/01/2018 7:30,-1.625,6.5
3/01/2018 8:30,-1.875,6.125
3/01/2018 9:30,-1.625,5.375
3/01/2018 10:30,-1,5.375
3/01/2018 11:30,-0.75,5.125
3/01/2018 12:30,-0.75,4.75
3/01/2018 13:30,-1,4.25
3/01/2018 14:30,-1,3.875
3/01/2018 15:30,-1.125,3.5
3/01/2018 16:30,-0.875,3.25
3/01/2018 17:30,-0.75,2.375
3/01/2018 18:30,-0.25,2.25
3/01/2018 19:30,0,1.75
3/01/2018 20:30,0.375,1.75
3/01/2018 21:30,0.5,1.375
3/01/2018 22:30,0.5,0.75
3/01/2018 23:30,0.875,-0.25
4/01/2018 0:30,1.375,-0.5
4/01/2018 1:30,1.125,-2.125
4/01/2018 2:30,0.5,-2.625
4/01/2018 3:30,0,-3.125
4/01/2018 4:30,-0.375,-3
4/01/2018 5:30,-0.5,-2.125
4/01/2018 6:30,-1.5,-1.375
4/01/2018 7:30,-0.5,3.875
4/01/2018 8:30,-0.375,5.5
4/01/2018 9:30,-0.625,5
4/01/2018 10:30,-0.625,4.75
4/01/2018 11:30,0,4
4/01/2018 12:30,0,3
4/01/2018 13:30,-0.5,2.25
4/01/2018 14:30,-0.375,1.625
4/01/2018 15:30,-0.375,1.25
4/01/2018 16:30,-0.5,1.125
4/01/2018 17:30,-0.625,1.125
4/01/2018 18:30,-0.625,1.25
4/01/2018 19:30,-0.375,1
4/01/2018 20:30,-0.25,0.5
4/01/2018 21:30,0.625,0.125
4/01/2018 22:30,2.125,-0.375
4/01/2018 23:30,2.125,-2.25
5/01/2018 0:30,1.25,-3
5/01/2018 1:30,1,-3.625
5/01/2018 2:30,0.625,-4.5
5/01/2018 3:30,0.5,-5.25
5/01/2018 4:30,0.375,-5.875
5/01/2018 5:30,0.25,-5.875
5/01/2018 6:30,1.125,-4.625
5/01/2018 7:30,1,-3.75
5/01/2018 8:30,-2.5,-2
5/01/2018 9:30,-1.125,5.375
5/01/2018 10:30,-0.75,4.375
5/01/2018 11:30,-0.75,3.5
5/01/2018 12:30,-0.5,3.375
5/01/2018 13:30,-0.25,3
5/01/2018 14:30,-0.375,2.375
5/01/2018 15:30,-0.5,2.125
5/01/2018 16:30,-0.125,1.375
5/01/2018 17:30,-0.375,1.25
5/01/2018 18:30,-0.375,1.375
5/01/2018 19:30,0,1.375
5/01/2018 20:30,0.125,0.75
5/01/2018 21:30,0.25,0.125
5/01/2018 22:30,0.625,-0.625
5/01/2018 23:30,2.25,-2
6/01/2018 0:30,3,-4.125
6/01/2018 1:30,2.5,-5.75
6/01/2018 2:30,2.125,-6.25
6/01/2018 3:30,2,-5.875
6/01/2018 4:30,2.375,-5.75
6/01/2018 5:30,2.5,-5.875
6/01/2018 6:30,2.75,-6
6/01/2018 7:30,2.625,-5.25
6/01/2018 8:30,1.625,-3.75
6/01/2018 9:30,1.75,-1.75
6/01/2018 10:30,2.125,-1.125
6/01/2018 11:30,1.75,-0.75
6/01/2018 12:30,1.375,0.25
6/01/2018 13:30,1.5,-0.5
6/01/2018 14:30,2.25,-0.5
6/01/2018 15:30,2.125,-1.25
6/01/2018 16:30,1.75,-2
6/01/2018 17:30,1.625,-2
6/01/2018 18:30,1.75,-1.5
6/01/2018 19:30,1.625,-1.5
6/01/2018 20:30,1.25,-2.125
6/01/2018 21:30,2.375,-3
6/01/2018 22:30,3.375,-3.75
6/01/2018 23:30,3.75,-4.375
7/01/2018 0:30,4,-4.75
7/01/2018 1:30,3.5,-5.25
7/01/2018 2:30,2.625,-5.5
7/01/2018 3:30,2.625,-4.875
7/01/2018 4:30,2.625,-4.625
7/01/2018 5:30,2.25,-4.75
7/01/2018 6:30,2.75,-3.5
7/01/2018 7:30,1.5,-2.5
7/01/2018 8:30,-1.125,5
7/01/2018 9:30,-0.5,3
7/01/2018 10:30,-0.25,2.375
7/01/2018 11:30,-0.75,3.25
7/01/2018 12:30,0.125,1.625
7/01/2018 13:30,0.75,1.75
7/01/2018 14:30,0.5,1.625
7/01/2018 15:30,0.75,1
7/01/2018 16:30,1,-0.25
7/01/2018 17:30,-0.375,-1.625
7/01/2018 18:30,0.375,-2.75
7/01/2018 19:30,0.625,-2
7/01/2018 20:30,0.75,-2.25
7/01/2018 21:30,0.875,-2.75
7/01/2018 22:30,3,-1.25
7/01/2018 23:30,4.625,-1.25
8/01/2018 0:30,3.375,-3.75
8/01/2018 1:30,1.875,-6
8/01/2018 2:30,1.375,-6.75
8/01/2018 3:30,1,-6.5
8/01/2018 4:30,1.625,-6.625
8/01/2018 5:30,0.875,-6.375
8/01/2018 6:30,-2.125,-7
8/01/2018 7:30,0,-3.375
8/01/2018 8:30,1.25,-2.25
8/01/2018 9:30,0.125,-1.5
8/01/2018 10:30,-0.375,0.25
8/01/2018 11:30,0.25,1.375
8/01/2018 12:30,0,2.125
8/01/2018 13:30,1.125,2.625
8/01/2018 14:30,1.75,2.125
8/01/2018 15:30,1.625,1.125
8/01/2018 16:30,1.25,0.875
8/01/2018 17:30,0.5,1
8/01/2018 18:30,0.5,-0.625
8/01/2018 19:30,0.125,1
8/01/2018 20:30,2.125,0.125
8/01/2018 21:30,4.25,-1.25
8/01/2018 22:30,4.625,-2.625
8/01/2018 23:30,4.375,-3.5
9/01/2018 0:30,3.75,-5
9/01/2018 1:30,3.375,-4.625
9/01/2018 2:30,3.25,-5.5
9/01/2018 3:30,2.125,-7.125
9/01/2018 4:30,1.125,-7.375
9/01/2018 5:30,2.125,-6.75
9/01/2018 6:30,3,-3.875
9/01/2018 7:30,3,-3
9/01/2018 8:30,3,-3
9/01/2018 9:30,-0.125,-2.375
9/01/2018 10:30,-1.25,5.25
9/01/2018 11:30,-1.25,5.125
9/01/2018 12:30,-1.375,5.375
9/01/2018 13:30,-1.5,4.875
9/01/2018 14:30,-1.375,4.125
9/01/2018 15:30,-1,3.625
9/01/2018 16:30,-0.875,3.375
9/01/2018 17:30,-0.625,3.625
9/01/2018 18:30,-0.25,3.25
9/01/2018 19:30,-0.375,3.375
9/01/2018 20:30,-0.375,3.75
9/01/2018 21:30,-0.125,3.75
9/01/2018 22:30,0.25,3.625
9/01/2018 23:30,0.125,3
10/01/2018 0:30,0.75,3.125
10/01/2018 1:30,1.125,3.375
10/01/2018 2:30,1.125,3.625
10/01/2018 3:30,0.625,2.75
10/01/2018 4:30,0.375,2.25
10/01/2018 5:30,-0.125,2.875
10/01/2018 6:30,0.75,3.625
10/01/2018 7:30,0.375,3.375
10/01/2018 8:30,-0.5,3.875
10/01/2018 9:30,-1.125,5.125
10/01/2018 10:30,-0.875,5.25
10/01/2018 11:30,0.125,5.125
10/01/2018 12:30,-0.25,4.875
10/01/2018 13:30,-0.375,4.75
10/01/2018 14:30,-0.5,3.875
10/01/2018 15:30,-0.625,3
10/01/2018 16:30,0,3.875
10/01/2018 17:30,-0.25,3
10/01/2018 18:30,-0.125,3.125
10/01/2018 19:30,0,2.75
10/01/2018 20:30,-0.25,2.625
10/01/2018 21:30,0.125,2.375
10/01/2018 22:30,0.125,2.625
10/01/2018 23:30,0.625,2.125
11/01/2018 0:30,1.5,1.25
11/01/2018 1:30,1.75,0
11/01/2018 2:30,2.125,-0.875
11/01/2018 3:30,2.375,-1.75
11/01/2018 4:30,1.625,-2.625
11/01/2018 5:30,1.25,-3.375
11/01/2018 6:30,1.375,-2.875
11/01/2018 7:30,-0.25,-2.375
11/01/2018 8:30,-1,-0.25
11/01/2018 9:30,0.375,4.375
11/01/2018 10:30,-0.125,4.625
11/01/2018 11:30,0,4.125
11/01/2018 12:30,-0.25,3.25
11/01/2018 13:30,0,2.5
11/01/2018 14:30,0.125,2.125
11/01/2018 15:30,0,1.75
11/01/2018 16:30,0.125,1.5
11/01/2018 17:30,0,1.25
11/01/2018 18:30,-0.75,0.875
11/01/2018 19:30,-0.625,0.5
11/01/2018 20:30,-0.375,0
11/01/2018 21:30,-0.25,-0.125
11/01/2018 22:30,0.5,0.25
11/01/2018 23:30,1.25,0.875
12/01/2018 0:30,2.125,-0.125
12/01/2018 1:30,2.875,-1.75
12/01/2018 2:30,3.875,-2.375
12/01/2018 3:30,4.125,-2.75
12/01/2018 4:30,5,-3.125
12/01/2018 5:30,4.75,-2.75
12/01/2018 6:30,3.75,-2.125
12/01/2018 7:30,1.625,-1.625
12/01/2018 8:30,0.5,1
12/01/2018 9:30,1.375,3.375
12/01/2018 10:30,-1.625,-0.375
12/01/2018 11:30,-0.75,2.875
12/01/2018 12:30,0.625,1.875
12/01/2018 13:30,0.125,0.125
12/01/2018 14:30,-1.375,-3
12/01/2018 15:30,-2.25,-3.375
12/01/2018 16:30,-0.625,-2.125
12/01/2018 17:30,0.875,-3.875
12/01/2018 18:30,2,-4
12/01/2018 19:30,3.125,-6
12/01/2018 20:30,3.75,-7.25
12/01/2018 21:30,2.75,-8.125
12/01/2018 22:30,2.875,-8
12/01/2018 23:30,2.25,-8.75
13/01/2018 0:30,0.875,-10
13/01/2018 1:30,1.125,-10.625
13/01/2018 2:30,1.25,-9.625
13/01/2018 3:30,0.625,-9
13/01/2018 4:30,-0.25,-8.5
13/01/2018 5:30,-0.375,-7.75
13/01/2018 6:30,0,-6.75
13/01/2018 7:30,0.25,-6.625
13/01/2018 8:30,0.75,-6
13/01/2018 9:30,1,-4.75
13/01/2018 10:30,0.875,-4.25
13/01/2018 11:30,0.75,-5.5
13/01/2018 12:30,0.25,-4.875
13/01/2018 13:30,-0.75,-4.75
13/01/2018 14:30,-0.375,-4.125
13/01/2018 15:30,-0.25,-3.5
13/01/2018 16:30,-3.875,-3.5
13/01/2018 17:30,-6.875,-2.625
13/01/2018 18:30,-4.375,-1.5
13/01/2018 19:30,-4.125,-2.125
13/01/2018 20:30,-5.625,-2.25
13/01/2018 21:30,-7,-1.625
13/01/2018 22:30,-7.625,-0.875
13/01/2018 23:30,-7.75,-0.875
14/01/2018 0:30,-8.375,-0.125
14/01/2018 1:30,-8,0.25
14/01/2018 2:30,-7.5,1
14/01/2018 3:30,-7,1.5
14/01/2018 4:30,-6.25,1.875
14/01/2018 5:30,-5.625,2.375
14/01/2018 6:30,-5.125,0.875
14/01/2018 7:30,-4.125,2.375
14/01/2018 8:30,-3.25,3.25
14/01/2018 9:30,-2,3.625
14/01/2018 10:30,-1.875,3.25
14/01/2018 11:30,-1.75,2.625
14/01/2018 12:30,-0.75,1.625
14/01/2018 13:30,-0.75,1
14/01/2018 14:30,-1.5,0.875
14/01/2018 15:30,-2.375,1.5
14/01/2018 16:30,-3.375,1.25
14/01/2018 17:30,-2.875,1
14/01/2018 18:30,-2.125,0.5
14/01/2018 19:30,-2.125,0
14/01/2018 20:30,-3,-0.5
14/01/2018 21:30,-3.875,-1
14/01/2018 22:30,-4.25,-1
14/01/2018 23:30,-4.625,-0.75
15/01/2018 0:30,-5.25,-1.125
15/01/2018 1:30,-5.375,-0.375
15/01/2018 2:30,-5.25,0
15/01/2018 3:30,-5.75,0.5
15/01/2018 4:30,-6.25,0.5
15/01/2018 5:30,-6.125,1
15/01/2018 6:30,-6.125,-0.375
15/01/2018 7:30,-6.125,0.125
15/01/2018 8:30,-5.125,0.25
15/01/2018 9:30,-3.625,0.5
15/01/2018 10:30,-2.875,0.375
15/01/2018 11:30,-2.625,0.125
15/01/2018 12:30,-2.625,-0.125
15/01/2018 13:30,-2.625,-0.375
15/01/2018 14:30,-2.75,-0.375
15/01/2018 15:30,-3.25,0.5
15/01/2018 16:30,-4.125,1.125
15/01/2018 17:30,-3.625,1.125
15/01/2018 18:30,-2.125,0.125
15/01/2018 19:30,-1.875,-0.5
15/01/2018 20:30,-3.25,0.375
15/01/2018 21:30,-3.75,1.5
15/01/2018 22:30,-3.5,2.25
15/01/2018 23:30,-3.625,2.375
16/01/2018 0:30,-3.625,2.625
16/01/2018 1:30,-3.5,3
16/01/2018 2:30,-3.25,2.75
16/01/2018 3:30,-3.125,2.625
16/01/2018 4:30,-3.25,2.625
16/01/2018 5:30,-3.625,3.875
16/01/2018 6:30,-3.375,4
16/01/2018 7:30,-3.375,4.625
16/01/2018 8:30,-3.125,4.75
16/01/2018 9:30,-1.875,4.5
16/01/2018 10:30,-1,4.375
16/01/2018 11:30,-0.25,4
16/01/2018 12:30,-0.5,3.625
16/01/2018 13:30,-0.625,3.5
